molecule,MPI,OMP,orbs,Coulomb dens,Coulomb pot,Allreduce pot,Total Fock
alkane_010,008,08,41,1.28720e+00,1.03805e+01,2.06342e-01,1.18754e+01
alkane_010,008,16,41,8.21920e-01,5.74641e+00,1.74028e-01,6.74365e+00
alkane_010,008,32,41,8.70344e-01,4.50309e+00,2.14056e-01,5.58917e+00
alkane_010,016,08,41,5.59075e-01,6.51858e+00,2.89255e+00,9.97154e+00
alkane_010,016,16,41,3.90303e-01,3.74592e+00,1.78437e+00,5.92196e+00
alkane_010,016,32,41,4.20798e-01,3.41451e+00,1.83290e+00,5.66966e+00
alkane_010,032,08,41,3.82747e-01,5.91463e+00,2.22177e+00,8.52039e+00
alkane_010,032,16,41,2.73947e-01,3.50416e+00,1.30291e+00,5.08227e+00
alkane_010,032,32,41,3.32735e-01,3.89520e+00,8.82481e-01,5.11201e+00
alkane_020,008,08,81,2.29495e+00,1.41179e+01,3.06913e+00,1.94842e+01
alkane_020,008,16,81,1.91562e+00,9.84791e+00,3.95425e-01,1.21621e+01
alkane_020,008,32,81,1.78625e+00,7.63455e+00,4.07353e-01,9.83058e+00
alkane_020,016,08,81,1.25731e+00,1.18318e+01,5.01031e-01,1.35922e+01
alkane_020,016,16,81,8.17115e-01,6.40186e+00,6.71550e-01,7.89235e+00
alkane_020,016,32,81,9.18591e-01,6.06223e+00,5.90057e-01,7.57359e+00
alkane_020,032,08,81,5.40197e-01,8.22281e+00,3.03898e+00,1.18040e+01
alkane_020,032,16,81,3.75226e-01,4.88057e+00,1.63163e+00,6.88956e+00
alkane_020,032,32,81,4.56952e-01,5.63223e+00,1.80354e+00,7.89498e+00
alkane_020,048,08,81,3.26499e-01,5.72832e+00,4.07880e+00,1.01356e+01
alkane_020,048,16,81,2.30798e-01,3.57818e+00,2.62791e+00,6.43913e+00
alkane_020,048,32,81,2.53808e-01,3.52264e+00,3.28702e+00,7.06556e+00
alkane_020,064,08,81,4.47174e-01,7.14139e+00,1.71982e+00,9.31044e+00
alkane_020,064,16,81,2.68109e-01,4.00123e+00,1.06339e+00,5.33523e+00
alkane_020,064,32,81,2.86661e-01,3.92809e+00,1.31661e+00,5.53636e+00
alkane_020,080,08,81,4.53346e-01,7.35976e+00,7.40638e-01,8.55572e+00
alkane_020,080,16,81,3.61048e-01,4.52114e+00,6.96163e-01,5.58062e+00
alkane_020,080,32,81,3.57511e-01,4.18287e+00,8.74371e-01,5.41707e+00
alkane_030,008,08,121,5.02834e+00,2.32991e+01,3.78223e+00,3.21144e+01
alkane_030,008,16,121,3.07124e+00,1.36442e+01,5.81071e-01,1.72996e+01
alkane_030,008,32,121,3.23406e+00,1.28201e+01,7.10142e-01,1.67687e+01
alkane_030,016,08,121,2.31253e+00,1.82008e+01,3.10838e+00,2.36252e+01
alkane_030,016,16,121,1.42211e+00,9.28483e+00,4.91819e+00,1.56323e+01
alkane_030,016,32,121,1.43386e+00,8.81670e+00,5.65266e+00,1.59070e+01
alkane_030,032,08,121,9.43236e-01,1.03903e+01,6.08928e+00,1.74272e+01
alkane_030,032,16,121,6.45175e-01,5.72061e+00,3.80889e+00,1.01786e+01
alkane_030,032,32,121,8.36935e-01,6.65041e+00,4.71117e+00,1.22018e+01
alkane_030,048,08,121,6.51642e-01,1.02085e+01,2.76346e+00,1.36264e+01
alkane_030,048,16,121,4.86756e-01,6.03509e+00,9.81930e-01,7.50772e+00
alkane_030,048,32,121,5.20347e-01,6.07245e+00,2.43670e+00,9.03336e+00
alkane_030,064,08,121,3.89014e-01,7.94768e+00,2.08546e+00,1.04247e+01
alkane_030,064,16,121,2.76967e-01,4.71263e+00,1.95328e+00,6.94596e+00
alkane_030,064,32,121,2.84109e-01,4.45343e+00,1.45720e+00,6.19820e+00
alkane_030,080,08,121,4.76516e-01,8.31977e+00,6.41920e+00,1.52201e+01
alkane_030,080,16,121,3.26463e-01,4.62841e+00,5.16394e+00,1.01218e+01
alkane_030,080,32,121,3.66268e-01,4.36969e+00,5.97545e+00,1.07146e+01
alkane_040,008,32,161,3.70622e+00,1.22051e+01,9.83233e+00,2.57518e+01
alkane_040,016,08,161,3.65003e+00,2.61259e+01,1.03536e+00,3.08155e+01
alkane_040,016,16,161,1.89154e+00,1.06180e+01,1.91911e+00,1.44343e+01
alkane_040,016,32,161,2.31911e+00,1.22714e+01,1.10083e+00,1.56958e+01
alkane_040,032,08,161,1.39587e+00,1.59647e+01,1.00548e+00,1.83722e+01
alkane_040,032,16,161,1.09039e+00,9.45934e+00,1.07107e+00,1.16246e+01
alkane_040,032,32,161,1.19620e+00,9.72907e+00,1.34114e+00,1.22715e+01
alkane_040,048,08,161,1.09172e+00,1.36496e+01,3.21884e+00,1.79670e+01
alkane_040,048,16,161,7.76425e-01,7.94555e+00,2.36211e+00,1.10902e+01
alkane_040,048,32,161,7.89695e-01,6.70976e+00,1.98966e+00,9.49547e+00
alkane_040,064,08,161,5.90537e-01,1.03625e+01,4.82700e+00,1.57835e+01
alkane_040,064,16,161,4.15239e-01,5.99638e+00,2.71352e+00,9.12851e+00
alkane_040,064,32,161,4.11014e-01,4.95048e+00,4.25019e+00,9.61691e+00
alkane_040,080,08,161,6.96304e-01,1.09139e+01,1.35441e+00,1.29687e+01
alkane_040,080,16,161,5.66905e-01,6.76926e+00,1.31559e+00,8.65548e+00
alkane_040,080,32,161,5.47680e-01,6.31219e+00,1.55080e+00,8.41481e+00
alkane_040,096,08,161,4.95940e-01,8.94552e+00,7.49869e+00,1.69437e+01
alkane_040,096,16,161,3.39145e-01,4.97224e+00,4.41265e+00,9.72779e+00
